,,2016,2017,2018,2019,2020
Estonia,PRIS_OFF_CAP,221.51 ,221.57 ,252.74 ,247.43 ,246.66 
Estonia,PRIS_ACT_CAP,217.64 ,206.97 ,195.89 ,187.72 ,178.03 
Sweden,PRIS_OFF_CAP,63.47 ,61.50 ,64.61 ,65.07 ,67.38 
Sweden,PRIS_ACT_CAP,57.44 ,57.16 ,60.41 ,65.68 ,70.66 
Finland,PRIS_OFF_CAP,53.92 ,53.10 ,53.96 ,52.16 ,54.24 
Finland,PRIS_ACT_CAP,57.51 ,56.00 ,53.62 ,53.37 ,49.79 
Denmark,PRIS_OFF_CAP,61.71 ,62.48 ,65.64 ,67.98 ,70.33 
Denmark,PRIS_ACT_CAP,59.71 ,59.46 ,62.88 ,67.52 ,71.55 
Ireland,PRIS_OFF_CAP,: ,: ,: ,: ,: 
Ireland,PRIS_ACT_CAP,78.67 ,76.92 ,82.02 ,81.91 ,76.75 
Bulgaria,PRIS_OFF_CAP,118.69 ,119.56 ,116.89 ,115.79 ,117.40 
Bulgaria,PRIS_ACT_CAP,102.67 ,98.40 ,94.34 ,92.11 ,89.92 
Hungary,PRIS_OFF_CAP,140.11 ,143.00 ,144.70 ,152.12 ,162.80 
Hungary,PRIS_ACT_CAP,179.62 ,177.01 ,176.42 ,170.51 ,171.21 
Poland,PRIS_OFF_CAP,234.88 ,228.76 ,226.30 ,225.82 ,226.75 
Poland,PRIS_ACT_CAP,190.19 ,196.14 ,191.74 ,196.49 ,180.08 
Romania,PRIS_OFF_CAP,141.13 ,103.89 ,99.39 ,100.55 ,101.05 
Romania,PRIS_ACT_CAP,138.94 ,119.37 ,106.46 ,105.99 ,112.54 
Slovakia,PRIS_OFF_CAP,203.33 ,201.29 ,211.26 ,213.29 ,213.00 
Slovakia,PRIS_ACT_CAP,184.20 ,184.50 ,189.12 ,193.65 ,192.73 
Slovenia,PRIS_OFF_CAP,64.04 ,64.81 ,64.78 ,64.35 ,63.32 
Slovenia,PRIS_ACT_CAP,63.37 ,: ,65.12 ,67.09 ,69.14 
Greece,PRIS_OFF_CAP,91.02 ,92.26 ,92.49 ,92.64 ,94.93 
Greece,PRIS_ACT_CAP,88.65 ,92.97 ,99.19 ,101.55 ,106.16 
Italy,PRIS_OFF_CAP,83.75 ,84.30 ,84.55 ,85.68 ,85.72 
Italy,PRIS_ACT_CAP,92.27 ,97.44 ,101.07 ,104.04 ,91.56 
Portugal,PRIS_OFF_CAP,121.84 ,123.13 ,125.68 ,125.86 ,125.52 
Portugal,PRIS_ACT_CAP,134.58 ,131.79 ,126.53 ,125.99 ,111.71 
Spain,PRIS_OFF_CAP,138.12 ,137.79 ,137.67 ,136.85 ,136.13 
Spain,PRIS_ACT_CAP,128.31 ,126.40 ,126.20 ,124.67 ,116.58 
Austria,PRIS_OFF_CAP,101.43 ,99.69 ,100.24 ,100.27 ,99.64 
Austria,PRIS_ACT_CAP,99.18 ,100.90 ,103.86 ,102.41 ,95.36 
France,PRIS_OFF_CAP,88.06 ,89.46 ,89.74 ,90.86 ,89.99 
France,PRIS_ACT_CAP,102.50 ,103.25 ,104.69 ,105.30 ,93.10 
Germany,PRIS_OFF_CAP,89.60 ,89.19 ,89.85 ,87.89 ,87.00 
Germany,PRIS_ACT_CAP,78.24 ,79.79 ,79.43 ,76.06 ,71.65 
Netherlands,PRIS_OFF_CAP,: ,70.69 ,72.03 ,67.20 ,69.49 
Netherlands,PRIS_ACT_CAP,62.44 ,63.66 ,65.48 ,68.15 ,63.33 
Belgium,PRIS_OFF_CAP,: ,81.32 ,: ,80.58 ,81.17 
Belgium,PRIS_ACT_CAP,: ,92.24 ,90.02 ,92.17 ,90.09 
